"","YMD","dp_sizegroup","ion","GR_median","GR_mean","GR_sd","eventID","score_over_10","airmass_change_flag"
"99","2018-03-30","(7,20]","positive",21.8,21.8,0.00207,"Pos23",1,1
"100","2018-03-30","(20,60]","negative",11.8,11.8,0.0204,"Neg23",1,1
"101","2018-03-30","(20,60]","positive",21.8,21.8,0.029,"Pos23",1,1
"102","2018-03-31","[1,3]","negative",4.95,4.97,0.099,"Neg25",6,1
"103","2018-03-31","[1,3]","positive",1.76,1.89,1.08,"Pos25",5,1
"104","2018-03-31","(3,7]","negative",5.65,5.6,0.207,"Neg25",6,1
"105","2018-03-31","(3,7]","positive",6.05,5.88,1.17,"Pos25",5,1
"106","2018-03-31","(7,20]","negative",5.91,5.9,0.0106,"Neg25",6,1
"107","2018-03-31","(7,20]","positive",9.3,9.03,1.39,"Pos25",5,1
"108","2018-04-01","[1,3]","negative",3.45,3.5,0.225,"Neg27",6,2
"109","2018-04-01","[1,3]","positive",2.33,2.35,0.0556,"Pos27",5,2
"110","2018-04-01","(3,7]","negative",4.03,4.34,0.58,"Neg27",6,2
"111","2018-04-01","(3,7]","positive",2.93,2.98,0.345,"Pos27",5,2
"112","2018-04-01","(7,20]","negative",5.23,5.25,0.563,"Neg27",6,2
"113","2018-04-01","(7,20]","positive",4.65,4.53,0.374,"Pos27",5,2
"114","2018-04-02","[1,3]","negative",4.23,4.23,0.0138,"Neg29",6,2
"115","2018-04-02","[1,3]","positive",2.28,2.28,0.0458,"Pos29",5,2
"116","2018-04-02","(3,7]","negative",4.31,4.3,0.0165,"Neg29",6,2
"117","2018-04-02","(3,7]","positive",2.6,2.59,0.122,"Pos29",5,2
"118","2018-04-02","(7,20]","negative",4.31,4.31,0.000243,"Neg29",6,2
"119","2018-04-02","(7,20]","positive",2.89,2.88,0.0457,"Pos29",5,2
"120","2018-04-03","[1,3]","negative",7.47,7.51,0.3,"Neg31",6,2
"121","2018-04-03","[1,3]","positive",7.66,7.67,0.0296,"Pos31",5,2
"122","2018-04-03","(3,7]","negative",9.01,8.88,0.317,"Neg31",6,2
"123","2018-04-03","(3,7]","positive",7.89,7.91,0.104,"Pos31",5,2
"124","2018-04-03","(7,20]","negative",6.56,6.73,1.21,"Neg31",6,2
"125","2018-04-03","(7,20]","positive",8.03,8.04,0.0121,"Pos31",5,2
"126","2018-04-04","[1,3]","negative",4.72,4.72,0.134,"Neg33",6,0
"127","2018-04-04","[1,3]","positive",-4.82,-4.83,0.0146,"Pos33",1,0
"128","2018-04-04","(3,7]","negative",5.74,5.76,0.496,"Neg33",6,0
"129","2018-04-04","(3,7]","positive",-4.87,-3.87,2.45,"Pos33",1,0
"130","2018-04-04","(7,20]","negative",8.03,7.87,0.571,"Neg33",6,0
"131","2018-04-04","(7,20]","positive",0.838,0.00214,2.36,"Pos33",1,0
"132","2018-04-05","[1,3]","negative",8.65,8.68,0.177,"Neg34",8,0
"133","2018-04-05","[1,3]","positive",1.52,2.14,1.86,"Pos34",8,0
"134","2018-04-05","(3,7]","negative",9.72,9.67,0.307,"Neg34",8,0
"135","2018-04-05","(3,7]","positive",9.76,9.56,1.74,"Pos34",8,0
"136","2018-04-05","(7,20]","negative",12.3,13.9,3.85,"Neg34",8,0
"137","2018-04-05","(7,20]","positive",12.8,14.2,2.57,"Pos34",8,0
"138","2018-04-05","(20,60]","negative",33.4,32.5,4.79,"Neg34",8,0
"139","2018-04-05","(20,60]","positive",32.8,31.6,5.02,"Pos34",8,0
"140","2018-04-06","[1,3]","negative",4.26,4.31,0.181,"Neg38",7,1
"141","2018-04-06","[1,3]","positive",4.13,4.16,0.199,"Pos38",7,1
"142","2018-04-06","(3,7]","negative",5.79,5.77,0.63,"Neg38",7,1
"143","2018-04-06","(3,7]","positive",5.4,5.42,0.542,"Pos38",7,1
"144","2018-04-06","(7,20]","negative",7.31,7.26,0.224,"Neg38",7,1
"145","2018-04-06","(7,20]","positive",7.11,7.03,0.302,"Pos38",7,1
"146","2018-04-07","[1,3]","negative",6.15,6.18,0.178,"Neg39",5,1
"147","2018-04-07","[1,3]","positive",1.7,2,0.752,"Pos39",5,1
"148","2018-04-07","(3,7]","negative",7.54,7.6,0.7,"Neg39",5,1
"149","2018-04-07","(3,7]","positive",6.34,6.34,1.41,"Pos39",5,1
"150","2018-04-07","(7,20]","negative",10.2,10,0.49,"Neg39",5,1
"151","2018-04-07","(7,20]","positive",10.3,10.2,0.432,"Pos39",5,1
"152","2018-04-08","[1,3]","negative",4.01,4.45,1.72,"Neg40",5,2
"153","2018-04-08","[1,3]","positive",12.5,12.6,0.123,"Pos40",5,2
"154","2018-04-08","(3,7]","negative",12.3,12.6,2.95,"Neg40",5,2
"155","2018-04-08","(3,7]","positive",13.6,13.6,0.476,"Pos40",5,2
"156","2018-04-08","(7,20]","negative",28,26.3,3.16,"Neg40",5,2
"157","2018-04-08","(7,20]","positive",14,13.7,1.06,"Pos40",5,2
"158","2018-04-08","(20,60]","negative",28.9,28.9,0.00304,"Neg40",5,2
"159","2018-04-10","[1,3]","negative",1.17,1.18,0.0216,"Neg41",4,2
"160","2018-04-10","(3,7]","negative",1.24,1.23,0.00674,"Neg41",4,2
"161","2018-04-11","[1,3]","negative",3.46,3.46,0.0278,"Neg42",9,2
"162","2018-04-11","[1,3]","positive",3.22,3.22,0.0387,"Pos42",9,2
"163","2018-04-11","(3,7]","negative",3.71,3.72,0.127,"Neg42",9,2
"164","2018-04-11","(3,7]","positive",3.53,3.54,0.152,"Pos42",9,2
"165","2018-04-11","(7,20]","negative",4.3,4.26,0.145,"Neg42",9,2
"166","2018-04-11","(7,20]","positive",4.13,4.1,0.133,"Pos42",9,2
"167","2018-04-12","[1,3]","negative",5.78,5.77,0.0105,"Neg44",5,0
"168","2018-04-12","(3,7]","negative",6.88,6.72,0.649,"Neg44",5,0
"169","2018-04-12","(3,7]","positive",5.42,5.39,2.82,"Pos44",4,0
"170","2018-04-12","(7,20]","negative",7.52,7.51,0.0268,"Neg44",5,0
"171","2018-04-12","(7,20]","positive",5.33,5.67,1.63,"Pos44",4,0
"172","2018-04-15","[1,3]","negative",2.28,2.28,0.0177,"Neg45",7,0
"173","2018-04-15","[1,3]","positive",1.7,1.71,0.00981,"Pos45",6,0
"174","2018-04-15","(3,7]","negative",2.4,2.39,0.0215,"Neg45",7,0
"175","2018-04-15","(3,7]","positive",1.75,1.75,0.00723,"Pos45",6,0
"176","2018-04-16","[1,3]","negative",5.94,5.91,0.0612,"Neg47",7,1
"177","2018-04-16","[1,3]","positive",5.35,5.36,0.0249,"Pos47",7,1
"178","2018-04-16","(3,7]","negative",3.07,3.27,1.16,"Neg47",7,1
"179","2018-04-16","(3,7]","positive",5.92,5.92,0.303,"Pos47",7,1
"180","2018-04-16","(7,20]","negative",5.09,5.07,0.384,"Neg47",7,1
"181","2018-04-16","(7,20]","positive",6.52,6.5,0.0518,"Pos47",7,1
"182","2018-04-17","[1,3]","negative",5.06,5.06,0.0311,"Neg49",9,2
"183","2018-04-17","[1,3]","positive",4.03,4.04,0.0246,"Pos49",8,2
"184","2018-04-17","(3,7]","negative",5.37,5.39,0.187,"Neg49",9,2
"185","2018-04-17","(3,7]","positive",4.57,4.79,0.635,"Pos49",8,2
"186","2018-04-17","(7,20]","negative",7.25,7.27,0.945,"Neg49",9,2
"187","2018-04-17","(7,20]","positive",9.19,8.92,1.2,"Pos49",8,2
"188","2018-04-17","(20,60]","negative",9.75,9.63,0.291,"Neg49",9,2
"189","2018-04-17","(20,60]","positive",10.9,10.8,0.147,"Pos49",8,2
"190","2018-04-18","[1,3]","negative",3.01,4.22,3.9,"Neg52",4,1
"191","2018-04-18","[1,3]","positive",0.182,1.87,4.13,"Pos52",4,1
"192","2018-04-18","(3,7]","negative",16.3,15.6,1.22,"Neg52",4,1
"193","2018-04-18","(3,7]","positive",20.9,20.3,2.53,"Pos52",4,1
"194","2018-04-19","[1,3]","negative",2.74,2.66,0.16,"Neg53",5,1
"195","2018-04-19","[1,3]","positive",0.985,1.04,0.206,"Pos53",5,1
"196","2018-04-19","(3,7]","negative",1.9,2.44,1.21,"Neg53",5,1
"197","2018-04-19","(3,7]","positive",1.56,1.55,0.0367,"Pos53",5,1
"198","2018-04-19","(7,20]","negative",12.2,12.2,3.79,"Neg53",5,1
"199","2018-04-19","(20,60]","negative",18.9,18.8,0.221,"Neg53",5,1
"200","2018-04-20","[1,3]","negative",4.38,4.41,0.189,"Neg55",7,1
"201","2018-04-20","[1,3]","positive",3.47,3.48,0.264,"Pos55",7,1
"202","2018-04-20","(3,7]","negative",5.65,5.62,0.481,"Neg55",7,1
"203","2018-04-20","(3,7]","positive",4.87,4.88,0.539,"Pos55",7,1
"204","2018-04-20","(7,20]","negative",6.07,6.14,0.448,"Neg55",7,1
"205","2018-04-20","(7,20]","positive",7.03,6.95,0.529,"Pos55",7,1
"206","2018-04-20","(20,60]","negative",10.2,10,1.33,"Neg55",7,1
"207","2018-04-20","(20,60]","positive",8.33,8.28,0.271,"Pos55",7,1
"208","2018-04-21","[1,3]","negative",3.62,3.6,0.0697,"Neg58",1,1
"209","2018-04-21","[1,3]","positive",3.48,3.47,0.0292,"Pos58",1,1
"210","2018-04-21","(3,7]","negative",1.91,2.08,0.604,"Neg58",1,1
"211","2018-04-21","(3,7]","positive",2.07,2.22,0.479,"Pos58",1,1
"212","2018-04-21","(7,20]","negative",8.1,8.15,3.3,"Neg58",1,1
"213","2018-04-21","(7,20]","positive",6.03,6.59,2.94,"Pos58",1,1
"214","2018-04-21","(20,60]","negative",12.4,12.1,0.659,"Neg58",1,1
"215","2018-04-21","(20,60]","positive",13.4,13.3,0.372,"Pos58",1,1
"216","2018-04-22","[1,3]","negative",17.3,17.3,0.121,"Neg60",5,1
"217","2018-04-22","[1,3]","positive",10.6,10.6,0.512,"Pos60",5,1
"218","2018-04-22","(3,7]","negative",18.7,18.9,0.995,"Neg60",5,1
"219","2018-04-22","(3,7]","positive",13.9,13.9,1.34,"Pos60",5,1
"220","2018-04-22","(7,20]","negative",18.7,17.7,4.21,"Neg60",5,1
"221","2018-04-22","(7,20]","positive",15.9,15.3,1.74,"Pos60",5,1
"222","2018-04-22","(20,60]","negative",5.84,6.3,1.16,"Neg60",5,1
"223","2018-04-22","(20,60]","positive",11,10.9,0.568,"Pos60",5,1
"224","2018-04-29","[1,3]","negative",3.17,3.26,0.407,"Neg61",7,1
"225","2018-04-29","[1,3]","positive",4.58,4.61,0.259,"Pos61",7,1
"226","2018-04-29","(3,7]","negative",5.89,6.01,1.23,"Neg61",7,1
"227","2018-04-29","(3,7]","positive",6.17,6.23,0.724,"Pos61",7,1
"228","2018-04-29","(7,20]","negative",12.9,12.9,2.68,"Neg61",7,1
"229","2018-04-29","(7,20]","positive",10.9,10.8,1.88,"Pos61",7,1
"230","2018-04-29","(20,60]","negative",19.7,19.4,0.835,"Neg61",7,1
"231","2018-04-29","(20,60]","positive",15.2,15,0.475,"Pos61",7,1
"232","2018-04-30","[1,3]","negative",7.38,7.38,0.0284,"Neg62",7,1
"233","2018-04-30","[1,3]","positive",5.18,5.22,0.189,"Pos62",6,1
"234","2018-04-30","(3,7]","negative",7.75,7.81,0.272,"Neg62",7,1
"235","2018-04-30","(3,7]","positive",6.56,6.6,0.638,"Pos62",6,1
"236","2018-04-30","(7,20]","negative",10.9,11.1,1.81,"Neg62",7,1
"237","2018-04-30","(7,20]","positive",10.9,11.1,2.16,"Pos62",6,1
"238","2018-04-30","(20,60]","negative",19.5,18.8,1.91,"Neg62",7,1
"239","2018-04-30","(20,60]","positive",21.4,20.4,2.06,"Pos62",6,1
"240","2018-05-02","[1,3]","negative",8.74,8.73,0.0166,"Neg63",5,1
"241","2018-05-02","[1,3]","positive",4.22,4.24,0.0793,"Pos63",5,1
"242","2018-05-02","(3,7]","negative",6.61,6.7,1.31,"Neg63",5,1
"243","2018-05-02","(3,7]","positive",4.13,4.05,0.419,"Pos63",5,1
"244","2018-05-02","(7,20]","negative",4.43,4.46,0.119,"Neg63",5,1
"245","2018-05-02","(7,20]","positive",2.12,2.19,0.491,"Pos63",5,1
"246","2018-05-03","[1,3]","negative",6.49,6.54,0.2,"Neg64",7,1
"247","2018-05-03","[1,3]","positive",5.52,5.52,0.011,"Pos64",7,1
"248","2018-05-03","(3,7]","negative",6.43,6.5,0.372,"Neg64",7,1
"249","2018-05-03","(3,7]","positive",5.76,5.78,0.16,"Pos64",7,1
"250","2018-05-03","(7,20]","negative",9.31,9.12,0.764,"Neg64",7,1
"251","2018-05-03","(7,20]","positive",6.48,6.43,0.152,"Pos64",7,1
"252","2018-05-05","[1,3]","negative",2.01,2.38,1.16,"Neg66",1,1
"253","2018-05-05","[1,3]","positive",7.56,7.69,0.393,"Pos66",1,1
"254","2018-05-05","(3,7]","negative",8.4,8.41,2.03,"Neg66",1,1
"255","2018-05-05","(3,7]","positive",12.5,12.7,2.78,"Pos66",1,1
"256","2018-05-05","(7,20]","negative",7.97,8.71,2.72,"Neg66",1,1
"257","2018-05-05","(7,20]","positive",7.78,8.96,4.17,"Pos66",1,1
"258","2018-05-05","(20,60]","negative",21.5,21.1,2.74,"Neg66",1,1
"259","2018-05-05","(20,60]","positive",19.2,18.5,1.42,"Pos66",1,1
"260","2018-05-06","(7,20]","negative",3.26,3.26,0.000263,"Neg68",1,1
"261","2018-05-06","(7,20]","positive",4.77,4.77,0.0108,"Pos68",1,1
"262","2018-05-07","[1,3]","negative",3.98,4.01,0.278,"Neg69",1,1
"263","2018-05-07","[1,3]","positive",8.47,8.48,0.0285,"Pos69",1,1
"264","2018-05-07","(3,7]","negative",5.74,5.79,0.782,"Neg69",1,1
"265","2018-05-07","(3,7]","positive",8.94,8.95,0.27,"Pos69",1,1
"266","2018-05-07","(7,20]","negative",10,9.61,1.06,"Neg69",1,1
"267","2018-05-07","(7,20]","positive",5.31,5.59,2.89,"Pos69",1,1
"268","2018-05-07","(20,60]","negative",10.6,10.6,0.019,"Neg69",1,1
