Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2017,6,3,19,30,0,8875.82
2017,6,3,19,40,0,8721.0
2017,6,3,19,50,0,8538.6
2017,6,3,20,0,0,8226.35
2017,6,3,20,10,0,7499.01
2017,6,3,20,20,0,7291.92
2017,6,3,20,30,0,6966.52
2017,6,3,20,40,0,7109.34
2017,6,3,20,50,0,6570.41
2017,6,3,21,0,0,6507.99
2017,6,3,21,10,0,6269.45
2017,6,3,21,20,0,6200.15
2017,6,3,21,30,0,5754.26
2017,6,3,21,40,0,5320.05
2017,6,3,21,50,0,5594.95
2017,6,3,22,0,0,5443.33
2017,6,3,22,10,0,5062.37
2017,6,3,22,20,0,4475.22
2017,6,3,22,30,0,4795.21
2017,6,3,22,40,0,4865.96
2017,6,3,22,50,0,4515.02
2017,6,3,23,0,0,4513.11
2017,6,3,23,10,0,4163.19
2017,6,3,23,20,0,4544.83
2017,6,3,23,30,0,4439.66
2017,6,3,23,40,0,4605.59
2017,6,3,23,50,0,4181.92
2017,6,4,0,0,0,4133.15
2017,6,4,0,10,0,4429.3
2017,6,4,0,20,0,4070.33
2017,6,4,0,30,0,3923.98
2017,6,4,0,40,0,4241.25
2017,6,4,0,50,0,4214.77
2017,6,4,1,0,0,3891.48
2017,6,4,1,10,0,3746.94
2017,6,4,1,20,0,3736.74
2017,6,4,1,30,0,3786.28
2017,6,4,1,40,0,4017.91
2017,6,4,1,50,0,3876.13
2017,6,4,2,0,0,3952.3
2017,6,4,2,10,0,3502.85
2017,6,4,2,20,0,3283.49
2017,6,4,2,30,0,3670.13
2017,6,4,2,40,0,3602.4
2017,6,4,2,50,0,3847.14
2017,6,4,3,0,0,3930.27
2017,6,4,3,10,0,4160.66
2017,6,4,3,20,0,3792.37
2017,6,4,3,30,0,3780.22
2017,6,4,3,40,0,3567.89
2017,6,4,3,50,0,3724.14
2017,6,4,4,0,0,3537.59
2017,6,4,4,10,0,3542.14
2017,6,4,4,20,0,3409.7
